                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.52586,                  0.367,                0.83379,                0.99898,                      1,                  0.995,                0.89363,                0.47307,                0.31672,                0.78027,             0.00096286,             0.00096286,             0.00096286
                    130,                0.49863,                0.37239,                0.82306,                0.99905,                      1,                  0.995,                0.90689,                0.46352,                0.31324,                0.77813,             0.00095736,             0.00095736,             0.00095736
                    131,                0.50047,                0.36333,                0.81457,                0.99912,                      1,                  0.995,                0.90591,                 0.4559,                0.31378,                0.77572,             0.00095186,             0.00095186,             0.00095186
                    132,                0.50708,                0.36284,                0.81436,                0.99911,                      1,                  0.995,                0.90466,                0.44812,                0.30374,                0.77465,             0.00094636,             0.00094636,             0.00094636
                    133,                0.48787,                0.34709,                 0.8261,                0.99897,                      1,                  0.995,                0.89295,                0.46617,                0.29962,                0.77677,             0.00094085,             0.00094085,             0.00094085
                    134,                 0.4605,                0.33668,                0.81896,                0.99883,                      1,                  0.995,                0.88956,                0.47917,                 0.2942,                0.77587,             0.00093535,             0.00093535,             0.00093535
                    135,                0.52847,                0.36329,                0.83618,                0.99866,                      1,                  0.995,                0.89522,                0.46962,                0.29997,                0.77544,             0.00092985,             0.00092985,             0.00092985
                    136,                0.49943,                 0.3442,                 0.8311,                0.99867,                      1,                  0.995,                 0.9001,                0.46314,                 0.3059,                0.77621,             0.00092435,             0.00092435,             0.00092435
                    137,                0.50026,                0.35843,                0.79874,                0.99843,                      1,                  0.995,                0.89536,                0.46368,                 0.3108,                0.77644,             0.00091885,             0.00091885,             0.00091885
                    138,                0.50122,                0.34659,                  0.809,                 0.9982,                      1,                  0.995,                0.88441,                 0.4814,                0.31725,                0.78072,             0.00091335,             0.00091335,             0.00091335
                    139,                0.48978,                0.34635,                0.80613,                0.99827,                      1,                  0.995,                0.88667,                0.47244,                0.30813,                0.77725,             0.00090785,             0.00090785,             0.00090785
                    140,                0.52324,                0.36658,                0.81831,                0.99851,                      1,                  0.995,                  0.896,                0.45797,                0.30858,                0.77372,             0.00090235,             0.00090235,             0.00090235
                    141,                0.48665,                0.33668,                0.81311,                0.99875,                      1,                  0.995,                0.89327,                0.46013,                0.31033,                0.77596,             0.00089685,             0.00089685,             0.00089685
                    142,                0.48462,                 0.3558,                0.80656,                0.99877,                      1,                  0.995,                0.89362,                0.45808,                0.31462,                0.77605,             0.00089134,             0.00089134,             0.00089134
                    143,                0.48307,                0.36509,                0.81373,                0.99883,                      1,                  0.995,                0.88276,                0.47293,                0.32313,                0.77894,             0.00088584,             0.00088584,             0.00088584
                    144,                0.50768,                  0.356,                0.81824,                 0.9988,                      1,                  0.995,                0.89197,                0.45742,                 0.3159,                0.78109,             0.00088034,             0.00088034,             0.00088034
                    145,                0.48888,                 0.3471,                0.81781,                 0.9987,                      1,                  0.995,                0.89221,                0.47141,                0.31153,                0.78159,             0.00087484,             0.00087484,             0.00087484
                    146,                0.49145,                0.34338,                0.82696,                0.99847,                      1,                  0.995,                0.90168,                0.46704,                0.31795,                0.78346,             0.00086934,             0.00086934,             0.00086934
                    147,                0.50312,                0.34991,                0.82474,                0.99832,                      1,                  0.995,                0.90076,                0.45908,                0.31496,                0.78048,             0.00086384,             0.00086384,             0.00086384
                    148,                0.50903,                0.36686,                0.83151,                 0.9984,                      1,                  0.995,                0.90181,                0.46563,                0.31261,                0.77989,             0.00085834,             0.00085834,             0.00085834
                    149,                0.48062,                0.33627,                0.81126,                0.99853,                      1,                  0.995,                0.90555,                0.45572,                0.30646,                0.78063,             0.00085284,             0.00085284,             0.00085284
                    150,                 0.4784,                0.33749,                0.81199,                 0.9986,                      1,                  0.995,                0.90583,                0.45152,                0.30344,                0.77908,             0.00084734,             0.00084734,             0.00084734
                    151,                0.50353,                0.34809,                0.84965,                0.99875,                      1,                  0.995,                0.90554,                0.44182,                0.30185,                0.77745,             0.00084184,             0.00084184,             0.00084184
                    152,                0.46859,                0.34037,                0.82849,                0.99882,                      1,                  0.995,                0.89765,                0.45831,                0.29844,                0.77864,             0.00083633,             0.00083633,             0.00083633
                    153,                0.47419,                0.33352,                0.82484,                0.99879,                      1,                  0.995,                0.90221,                0.45216,                0.29477,                0.77728,             0.00083083,             0.00083083,             0.00083083
                    154,                0.46716,                0.33366,                0.81226,                 0.9986,                      1,                  0.995,                0.90107,                0.44941,                0.29256,                0.77601,             0.00082533,             0.00082533,             0.00082533
                    155,                0.46962,                0.33938,                0.80973,                 0.9985,                      1,                  0.995,                0.90099,                0.45278,                0.29497,                0.77452,             0.00081983,             0.00081983,             0.00081983
                    156,                0.48242,                0.33863,                0.83743,                0.99852,                      1,                  0.995,                 0.9084,                0.44721,                0.29111,                0.77197,             0.00081433,             0.00081433,             0.00081433
                    157,                0.51134,                0.33745,                0.84503,                0.99858,                      1,                  0.995,                0.90151,                0.45093,                 0.2952,                0.77484,             0.00080883,             0.00080883,             0.00080883
